Epoch 1: Train Loss=0.3983, Train Acc=85.52%, Val Loss=0.4061, Val Acc=85.57%
Epoch 2: Train Loss=0.3499, Train Acc=87.16%, Val Loss=0.3611, Val Acc=86.93%
Epoch 3: Train Loss=0.3298, Train Acc=87.82%, Val Loss=0.3463, Val Acc=87.50%
Epoch 4: Train Loss=0.3169, Train Acc=88.24%, Val Loss=0.3398, Val Acc=87.87%
Epoch 5: Train Loss=0.3026, Train Acc=88.78%, Val Loss=0.3340, Val Acc=88.02%
Epoch 6: Train Loss=0.2945, Train Acc=89.00%, Val Loss=0.3286, Val Acc=88.30%
Epoch 7: Train Loss=0.2893, Train Acc=89.27%, Val Loss=0.3290, Val Acc=88.33%
Epoch 8: Train Loss=0.2863, Train Acc=89.41%, Val Loss=0.3348, Val Acc=88.40%
Epoch 9: Train Loss=0.2800, Train Acc=89.54%, Val Loss=0.3318, Val Acc=88.33%
Epoch 10: Train Loss=0.2793, Train Acc=89.68%, Val Loss=0.3340, Val Acc=88.28%
Test Loss: 0.3821, Test Acc: 87.24%
