Epoch 1: Train Loss=0.5095, Train Acc=82.24%, Val Loss=0.5161, Val Acc=81.97%
Epoch 2: Train Loss=0.4543, Train Acc=84.04%, Val Loss=0.4596, Val Acc=83.95%
Epoch 3: Train Loss=0.4258, Train Acc=84.97%, Val Loss=0.4305, Val Acc=84.90%
Epoch 4: Train Loss=0.4061, Train Acc=85.63%, Val Loss=0.4121, Val Acc=85.60%
Epoch 5: Train Loss=0.3912, Train Acc=86.11%, Val Loss=0.3991, Val Acc=86.22%
Epoch 6: Train Loss=0.3796, Train Acc=86.50%, Val Loss=0.3890, Val Acc=86.58%
Epoch 7: Train Loss=0.3692, Train Acc=86.83%, Val Loss=0.3804, Val Acc=87.03%
Epoch 8: Train Loss=0.3598, Train Acc=87.12%, Val Loss=0.3734, Val Acc=87.22%
Epoch 9: Train Loss=0.3515, Train Acc=87.46%, Val Loss=0.3675, Val Acc=87.27%
Epoch 10: Train Loss=0.3438, Train Acc=87.73%, Val Loss=0.3619, Val Acc=87.40%
Test Loss: 0.4002, Test Acc: 85.79%
