Epoch 1: Train Loss=0.8335, Train Acc=71.18%, Val Loss=0.8408, Val Acc=71.02%
Epoch 2: Train Loss=0.6549, Train Acc=77.02%, Val Loss=0.6633, Val Acc=76.50%
Epoch 3: Train Loss=0.5725, Train Acc=79.80%, Val Loss=0.5803, Val Acc=79.52%
Epoch 4: Train Loss=0.5247, Train Acc=81.49%, Val Loss=0.5310, Val Acc=81.00%
Epoch 5: Train Loss=0.4945, Train Acc=82.50%, Val Loss=0.4993, Val Acc=82.00%
Epoch 6: Train Loss=0.4736, Train Acc=83.14%, Val Loss=0.4774, Val Acc=82.82%
Epoch 7: Train Loss=0.4576, Train Acc=83.75%, Val Loss=0.4612, Val Acc=83.53%
Epoch 8: Train Loss=0.4446, Train Acc=84.21%, Val Loss=0.4481, Val Acc=84.13%
Epoch 9: Train Loss=0.4342, Train Acc=84.59%, Val Loss=0.4381, Val Acc=84.30%
Epoch 10: Train Loss=0.4250, Train Acc=84.96%, Val Loss=0.4296, Val Acc=84.70%
Test Loss: 0.4634, Test Acc: 83.36%
