Epoch 1: Train Loss=0.5350, Train Acc=81.27%, Val Loss=0.5432, Val Acc=80.98%
Epoch 2: Train Loss=0.4770, Train Acc=83.15%, Val Loss=0.4827, Val Acc=82.93%
Epoch 3: Train Loss=0.4484, Train Acc=84.17%, Val Loss=0.4540, Val Acc=84.13%
Epoch 4: Train Loss=0.4281, Train Acc=84.87%, Val Loss=0.4345, Val Acc=84.70%
Epoch 5: Train Loss=0.4128, Train Acc=85.39%, Val Loss=0.4203, Val Acc=85.12%
Epoch 6: Train Loss=0.4004, Train Acc=85.81%, Val Loss=0.4091, Val Acc=85.45%
Epoch 7: Train Loss=0.3903, Train Acc=86.17%, Val Loss=0.4007, Val Acc=85.98%
Epoch 8: Train Loss=0.3817, Train Acc=86.48%, Val Loss=0.3936, Val Acc=86.27%
Epoch 9: Train Loss=0.3737, Train Acc=86.74%, Val Loss=0.3870, Val Acc=86.37%
Epoch 10: Train Loss=0.3667, Train Acc=87.01%, Val Loss=0.3812, Val Acc=86.65%
Test Loss: 0.4156, Test Acc: 85.30%
