Epoch 1: Train Loss=0.6822, Train Acc=77.36%, Val Loss=0.6937, Val Acc=76.30%
Epoch 2: Train Loss=0.5758, Train Acc=80.07%, Val Loss=0.5862, Val Acc=79.28%
Epoch 3: Train Loss=0.5359, Train Acc=81.26%, Val Loss=0.5462, Val Acc=80.55%
Epoch 4: Train Loss=0.5106, Train Acc=81.99%, Val Loss=0.5207, Val Acc=81.70%
Epoch 5: Train Loss=0.4926, Train Acc=82.48%, Val Loss=0.5026, Val Acc=82.22%
Epoch 6: Train Loss=0.4782, Train Acc=82.91%, Val Loss=0.4882, Val Acc=82.62%
Epoch 7: Train Loss=0.4661, Train Acc=83.29%, Val Loss=0.4762, Val Acc=82.92%
Epoch 8: Train Loss=0.4552, Train Acc=83.68%, Val Loss=0.4654, Val Acc=83.03%
Epoch 9: Train Loss=0.4454, Train Acc=84.06%, Val Loss=0.4560, Val Acc=83.55%
Epoch 10: Train Loss=0.4367, Train Acc=84.33%, Val Loss=0.4479, Val Acc=83.83%
Test Loss: 0.4752, Test Acc: 82.55%
