Epoch 1: Train Loss=19.5915, Train Acc=43.23%, Val Loss=19.5778, Val Acc=43.28%
Epoch 2: Train Loss=16.4061, Train Acc=52.44%, Val Loss=16.5164, Val Acc=52.12%
Epoch 3: Train Loss=14.8688, Train Acc=56.88%, Val Loss=15.1480, Val Acc=56.13%
Epoch 4: Train Loss=14.0475, Train Acc=59.26%, Val Loss=14.1738, Val Acc=58.87%
Epoch 5: Train Loss=13.3559, Train Acc=61.25%, Val Loss=13.4308, Val Acc=61.03%
Epoch 6: Train Loss=12.8212, Train Acc=62.77%, Val Loss=12.7370, Val Acc=63.03%
Epoch 7: Train Loss=12.3629, Train Acc=64.12%, Val Loss=12.2341, Val Acc=64.48%
Epoch 8: Train Loss=12.0141, Train Acc=65.13%, Val Loss=11.9073, Val Acc=65.42%
Epoch 9: Train Loss=11.7122, Train Acc=65.99%, Val Loss=11.6872, Val Acc=66.03%
Epoch 10: Train Loss=11.4859, Train Acc=66.64%, Val Loss=11.5061, Val Acc=66.58%
Test Loss: 11.6026, Test Acc: 66.32%
