Epoch 1: Train Loss=0.5550, Train Acc=79.97%, Val Loss=0.5611, Val Acc=79.32%
Epoch 2: Train Loss=0.4434, Train Acc=84.03%, Val Loss=0.4474, Val Acc=83.87%
Epoch 3: Train Loss=0.3986, Train Acc=85.67%, Val Loss=0.4057, Val Acc=85.47%
Epoch 4: Train Loss=0.3762, Train Acc=86.37%, Val Loss=0.3850, Val Acc=86.23%
Epoch 5: Train Loss=0.3568, Train Acc=86.98%, Val Loss=0.3690, Val Acc=86.83%
Epoch 6: Train Loss=0.3425, Train Acc=87.42%, Val Loss=0.3588, Val Acc=87.38%
Epoch 7: Train Loss=0.3290, Train Acc=87.91%, Val Loss=0.3490, Val Acc=87.57%
Epoch 8: Train Loss=0.3194, Train Acc=88.29%, Val Loss=0.3443, Val Acc=87.68%
Epoch 9: Train Loss=0.3075, Train Acc=88.70%, Val Loss=0.3369, Val Acc=87.93%
Epoch 10: Train Loss=0.2987, Train Acc=88.98%, Val Loss=0.3325, Val Acc=88.10%
Test Loss: 0.3740, Test Acc: 86.79%
