Epoch 1: Train Loss=0.5024, Train Acc=82.29%, Val Loss=0.5097, Val Acc=82.28%
Epoch 2: Train Loss=0.4539, Train Acc=83.85%, Val Loss=0.4620, Val Acc=83.53%
Epoch 3: Train Loss=0.4250, Train Acc=84.88%, Val Loss=0.4345, Val Acc=84.55%
Epoch 4: Train Loss=0.4063, Train Acc=85.42%, Val Loss=0.4172, Val Acc=85.02%
Epoch 5: Train Loss=0.3898, Train Acc=85.95%, Val Loss=0.4023, Val Acc=85.88%
Epoch 6: Train Loss=0.3757, Train Acc=86.43%, Val Loss=0.3898, Val Acc=86.38%
Epoch 7: Train Loss=0.3645, Train Acc=86.84%, Val Loss=0.3810, Val Acc=86.73%
Epoch 8: Train Loss=0.3550, Train Acc=87.17%, Val Loss=0.3736, Val Acc=86.77%
Epoch 9: Train Loss=0.3467, Train Acc=87.49%, Val Loss=0.3676, Val Acc=87.03%
Epoch 10: Train Loss=0.3407, Train Acc=87.70%, Val Loss=0.3639, Val Acc=87.35%
Test Loss: 0.3987, Test Acc: 86.01%
