Epoch 1: Train Loss=0.4145, Train Acc=85.03%, Val Loss=0.4220, Val Acc=84.50%
Epoch 2: Train Loss=0.3694, Train Acc=86.54%, Val Loss=0.3822, Val Acc=85.97%
Epoch 3: Train Loss=0.3483, Train Acc=87.13%, Val Loss=0.3684, Val Acc=86.20%
Epoch 4: Train Loss=0.3378, Train Acc=87.60%, Val Loss=0.3663, Val Acc=86.53%
Epoch 5: Train Loss=0.3236, Train Acc=88.03%, Val Loss=0.3607, Val Acc=86.87%
Epoch 6: Train Loss=0.3041, Train Acc=88.72%, Val Loss=0.3421, Val Acc=87.47%
Epoch 7: Train Loss=0.2942, Train Acc=89.06%, Val Loss=0.3362, Val Acc=87.60%
Epoch 8: Train Loss=0.2861, Train Acc=89.30%, Val Loss=0.3334, Val Acc=87.92%
Epoch 9: Train Loss=0.2796, Train Acc=89.52%, Val Loss=0.3316, Val Acc=88.05%
Epoch 10: Train Loss=0.2772, Train Acc=89.64%, Val Loss=0.3331, Val Acc=87.78%
Test Loss: 0.3749, Test Acc: 86.85%
