Epoch 1: Train Loss=0.4222, Train Acc=85.05%, Val Loss=0.4311, Val Acc=84.72%
Epoch 2: Train Loss=0.3828, Train Acc=86.24%, Val Loss=0.3982, Val Acc=85.77%
Epoch 3: Train Loss=0.3648, Train Acc=86.70%, Val Loss=0.3812, Val Acc=85.90%
Epoch 4: Train Loss=0.3566, Train Acc=87.00%, Val Loss=0.3797, Val Acc=85.82%
Epoch 5: Train Loss=0.3468, Train Acc=87.28%, Val Loss=0.3766, Val Acc=86.22%
Epoch 6: Train Loss=0.3429, Train Acc=87.32%, Val Loss=0.3806, Val Acc=86.33%
Epoch 7: Train Loss=0.3519, Train Acc=87.29%, Val Loss=0.3961, Val Acc=86.13%
Epoch 8: Train Loss=0.3443, Train Acc=87.64%, Val Loss=0.3918, Val Acc=86.50%
Epoch 9: Train Loss=0.3291, Train Acc=88.16%, Val Loss=0.3781, Val Acc=86.78%
Epoch 10: Train Loss=0.3255, Train Acc=88.22%, Val Loss=0.3827, Val Acc=87.03%
Test Loss: 0.4281, Test Acc: 85.62%
