Epoch 1: Train Loss=0.4428, Train Acc=84.26%, Val Loss=0.4511, Val Acc=84.27%
Epoch 2: Train Loss=0.4043, Train Acc=85.29%, Val Loss=0.4139, Val Acc=85.00%
Epoch 3: Train Loss=0.3940, Train Acc=85.50%, Val Loss=0.4055, Val Acc=85.00%
Epoch 4: Train Loss=0.3805, Train Acc=85.90%, Val Loss=0.3975, Val Acc=85.30%
Epoch 5: Train Loss=0.3717, Train Acc=86.13%, Val Loss=0.3932, Val Acc=85.53%
Epoch 6: Train Loss=0.3589, Train Acc=86.53%, Val Loss=0.3843, Val Acc=85.78%
Epoch 7: Train Loss=0.3527, Train Acc=86.76%, Val Loss=0.3838, Val Acc=85.92%
Epoch 8: Train Loss=0.3394, Train Acc=87.35%, Val Loss=0.3729, Val Acc=86.33%
Epoch 9: Train Loss=0.3402, Train Acc=87.32%, Val Loss=0.3788, Val Acc=86.15%
Epoch 10: Train Loss=0.3291, Train Acc=87.66%, Val Loss=0.3688, Val Acc=86.43%
Test Loss: 0.4107, Test Acc: 85.13%
