Epoch 1: Train Loss=0.4611, Train Acc=83.70%, Val Loss=0.4669, Val Acc=83.25%
Epoch 2: Train Loss=0.4030, Train Acc=85.33%, Val Loss=0.4130, Val Acc=85.00%
Epoch 3: Train Loss=0.3783, Train Acc=85.94%, Val Loss=0.3929, Val Acc=85.67%
Epoch 4: Train Loss=0.3547, Train Acc=86.80%, Val Loss=0.3743, Val Acc=86.62%
Epoch 5: Train Loss=0.3399, Train Acc=87.28%, Val Loss=0.3632, Val Acc=86.82%
Epoch 6: Train Loss=0.3200, Train Acc=88.08%, Val Loss=0.3468, Val Acc=87.52%
Epoch 7: Train Loss=0.3219, Train Acc=87.92%, Val Loss=0.3539, Val Acc=86.83%
Epoch 8: Train Loss=0.3065, Train Acc=88.52%, Val Loss=0.3414, Val Acc=87.50%
Epoch 9: Train Loss=0.3039, Train Acc=88.61%, Val Loss=0.3434, Val Acc=87.45%
Epoch 10: Train Loss=0.2984, Train Acc=88.75%, Val Loss=0.3438, Val Acc=87.48%
Test Loss: 0.3845, Test Acc: 86.33%
