Epoch 1: Train Loss=16.6160, Train Acc=51.88%, Val Loss=16.7111, Val Acc=51.60%
Epoch 2: Train Loss=13.5626, Train Acc=60.72%, Val Loss=13.6775, Val Acc=60.38%
Epoch 3: Train Loss=12.1663, Train Acc=64.77%, Val Loss=12.1922, Val Acc=64.70%
Epoch 4: Train Loss=11.2801, Train Acc=67.33%, Val Loss=11.4063, Val Acc=66.95%
Epoch 5: Train Loss=10.6172, Train Acc=69.25%, Val Loss=10.8153, Val Acc=68.68%
Epoch 6: Train Loss=10.1883, Train Acc=70.49%, Val Loss=10.4594, Val Acc=69.72%
Epoch 7: Train Loss=9.8249, Train Acc=71.54%, Val Loss=10.1926, Val Acc=70.48%
Epoch 8: Train Loss=9.5536, Train Acc=72.33%, Val Loss=9.9685, Val Acc=71.13%
Epoch 9: Train Loss=9.3565, Train Acc=72.90%, Val Loss=9.7802, Val Acc=71.68%
Epoch 10: Train Loss=9.1236, Train Acc=73.57%, Val Loss=9.6044, Val Acc=72.15%
Test Loss: 9.6570, Test Acc: 72.04%
