Epoch 1: Train Loss=0.5720, Train Acc=80.95%, Val Loss=0.5816, Val Acc=80.10%
Epoch 2: Train Loss=0.4943, Train Acc=83.09%, Val Loss=0.5026, Val Acc=82.22%
Epoch 3: Train Loss=0.4597, Train Acc=84.04%, Val Loss=0.4675, Val Acc=83.17%
Epoch 4: Train Loss=0.4382, Train Acc=84.70%, Val Loss=0.4459, Val Acc=83.95%
Epoch 5: Train Loss=0.4222, Train Acc=85.19%, Val Loss=0.4307, Val Acc=84.45%
Epoch 6: Train Loss=0.4097, Train Acc=85.64%, Val Loss=0.4189, Val Acc=84.92%
Epoch 7: Train Loss=0.3994, Train Acc=86.03%, Val Loss=0.4094, Val Acc=85.38%
Epoch 8: Train Loss=0.3903, Train Acc=86.33%, Val Loss=0.4012, Val Acc=85.77%
Epoch 9: Train Loss=0.3825, Train Acc=86.53%, Val Loss=0.3942, Val Acc=85.90%
Epoch 10: Train Loss=0.3758, Train Acc=86.76%, Val Loss=0.3884, Val Acc=86.00%
Test Loss: 0.4177, Test Acc: 85.30%
