Epoch 1: Train Loss=0.5374, Train Acc=81.83%, Val Loss=0.5435, Val Acc=81.55%
Epoch 2: Train Loss=0.4806, Train Acc=83.22%, Val Loss=0.4860, Val Acc=83.28%
Epoch 3: Train Loss=0.4519, Train Acc=84.00%, Val Loss=0.4568, Val Acc=83.98%
Epoch 4: Train Loss=0.4330, Train Acc=84.63%, Val Loss=0.4385, Val Acc=84.42%
Epoch 5: Train Loss=0.4185, Train Acc=85.14%, Val Loss=0.4247, Val Acc=85.07%
Epoch 6: Train Loss=0.4064, Train Acc=85.57%, Val Loss=0.4139, Val Acc=85.58%
Epoch 7: Train Loss=0.3965, Train Acc=85.91%, Val Loss=0.4054, Val Acc=85.77%
Epoch 8: Train Loss=0.3883, Train Acc=86.19%, Val Loss=0.3989, Val Acc=85.93%
Epoch 9: Train Loss=0.3809, Train Acc=86.49%, Val Loss=0.3930, Val Acc=86.12%
Epoch 10: Train Loss=0.3746, Train Acc=86.74%, Val Loss=0.3881, Val Acc=86.32%
Test Loss: 0.4223, Test Acc: 84.85%
