Epoch 1: Train Loss=2.0744, Train Acc=26.84%, Val Loss=2.0708, Val Acc=27.38%
Epoch 2: Train Loss=1.5077, Train Acc=58.47%, Val Loss=1.5044, Val Acc=58.27%
Epoch 3: Train Loss=1.0925, Train Acc=63.59%, Val Loss=1.0949, Val Acc=63.38%
Epoch 4: Train Loss=0.9262, Train Acc=67.02%, Val Loss=0.9303, Val Acc=66.40%
Epoch 5: Train Loss=0.8353, Train Acc=69.80%, Val Loss=0.8404, Val Acc=69.58%
Epoch 6: Train Loss=0.7702, Train Acc=72.13%, Val Loss=0.7758, Val Acc=72.02%
Epoch 7: Train Loss=0.7231, Train Acc=73.94%, Val Loss=0.7289, Val Acc=73.78%
Epoch 8: Train Loss=0.6888, Train Acc=75.20%, Val Loss=0.6943, Val Acc=75.18%
Epoch 9: Train Loss=0.6620, Train Acc=76.35%, Val Loss=0.6672, Val Acc=76.30%
Epoch 10: Train Loss=0.6405, Train Acc=77.13%, Val Loss=0.6454, Val Acc=77.10%
Test Loss: 0.6576, Test Acc: 76.37%
