Epoch 1: Train Loss=0.4028, Train Acc=85.51%, Val Loss=0.4065, Val Acc=85.30%
Epoch 2: Train Loss=0.3641, Train Acc=86.68%, Val Loss=0.3734, Val Acc=86.33%
Epoch 3: Train Loss=0.3371, Train Acc=87.62%, Val Loss=0.3525, Val Acc=86.95%
Epoch 4: Train Loss=0.3208, Train Acc=88.14%, Val Loss=0.3447, Val Acc=87.25%
Epoch 5: Train Loss=0.3108, Train Acc=88.49%, Val Loss=0.3445, Val Acc=87.53%
Epoch 6: Train Loss=0.3013, Train Acc=88.71%, Val Loss=0.3425, Val Acc=87.55%
Epoch 7: Train Loss=0.2920, Train Acc=89.07%, Val Loss=0.3358, Val Acc=88.30%
Epoch 8: Train Loss=0.2843, Train Acc=89.40%, Val Loss=0.3343, Val Acc=88.37%
Epoch 9: Train Loss=0.2818, Train Acc=89.48%, Val Loss=0.3396, Val Acc=88.28%
Epoch 10: Train Loss=0.2711, Train Acc=89.81%, Val Loss=0.3381, Val Acc=88.52%
Test Loss: 0.3777, Test Acc: 86.82%
