Epoch 1: Train Loss=0.5395, Train Acc=81.16%, Val Loss=0.5435, Val Acc=80.72%
Epoch 2: Train Loss=0.4735, Train Acc=83.12%, Val Loss=0.4767, Val Acc=82.65%
Epoch 3: Train Loss=0.4440, Train Acc=83.98%, Val Loss=0.4481, Val Acc=83.60%
Epoch 4: Train Loss=0.4227, Train Acc=84.75%, Val Loss=0.4285, Val Acc=84.50%
Epoch 5: Train Loss=0.4080, Train Acc=85.27%, Val Loss=0.4160, Val Acc=84.93%
Epoch 6: Train Loss=0.3966, Train Acc=85.65%, Val Loss=0.4065, Val Acc=85.33%
Epoch 7: Train Loss=0.3863, Train Acc=86.04%, Val Loss=0.3987, Val Acc=85.58%
Epoch 8: Train Loss=0.3764, Train Acc=86.41%, Val Loss=0.3910, Val Acc=85.88%
Epoch 9: Train Loss=0.3672, Train Acc=86.80%, Val Loss=0.3845, Val Acc=86.27%
Epoch 10: Train Loss=0.3608, Train Acc=86.94%, Val Loss=0.3798, Val Acc=86.43%
Test Loss: 0.4166, Test Acc: 85.15%
