Epoch 1: Train Loss=0.3952, Train Acc=85.58%, Val Loss=0.4005, Val Acc=85.48%
Epoch 2: Train Loss=0.3526, Train Acc=87.06%, Val Loss=0.3677, Val Acc=86.55%
Epoch 3: Train Loss=0.3302, Train Acc=87.73%, Val Loss=0.3535, Val Acc=86.95%
Epoch 4: Train Loss=0.3175, Train Acc=88.23%, Val Loss=0.3449, Val Acc=87.33%
Epoch 5: Train Loss=0.3040, Train Acc=88.64%, Val Loss=0.3362, Val Acc=87.82%
Epoch 6: Train Loss=0.2912, Train Acc=89.18%, Val Loss=0.3279, Val Acc=88.30%
Epoch 7: Train Loss=0.2884, Train Acc=89.33%, Val Loss=0.3299, Val Acc=88.27%
Epoch 8: Train Loss=0.2792, Train Acc=89.60%, Val Loss=0.3284, Val Acc=88.20%
Epoch 9: Train Loss=0.2721, Train Acc=89.76%, Val Loss=0.3271, Val Acc=88.32%
Epoch 10: Train Loss=0.2677, Train Acc=90.02%, Val Loss=0.3294, Val Acc=88.25%
Test Loss: 0.3779, Test Acc: 87.08%
