Epoch 1: Train Loss=0.4115, Train Acc=85.26%, Val Loss=0.4127, Val Acc=84.97%
Epoch 2: Train Loss=0.3672, Train Acc=86.65%, Val Loss=0.3731, Val Acc=86.50%
Epoch 3: Train Loss=0.3454, Train Acc=87.38%, Val Loss=0.3554, Val Acc=87.15%
Epoch 4: Train Loss=0.3304, Train Acc=87.89%, Val Loss=0.3446, Val Acc=87.47%
Epoch 5: Train Loss=0.3198, Train Acc=88.22%, Val Loss=0.3387, Val Acc=87.78%
Epoch 6: Train Loss=0.3084, Train Acc=88.66%, Val Loss=0.3310, Val Acc=88.15%
Epoch 7: Train Loss=0.2985, Train Acc=88.97%, Val Loss=0.3259, Val Acc=88.47%
Epoch 8: Train Loss=0.2911, Train Acc=89.20%, Val Loss=0.3227, Val Acc=88.38%
Epoch 9: Train Loss=0.2851, Train Acc=89.38%, Val Loss=0.3202, Val Acc=88.50%
Epoch 10: Train Loss=0.2767, Train Acc=89.71%, Val Loss=0.3163, Val Acc=88.72%
Test Loss: 0.3585, Test Acc: 87.24%
