Epoch 1: Train Loss=0.5053, Train Acc=81.95%, Val Loss=0.5101, Val Acc=81.60%
Epoch 2: Train Loss=0.4477, Train Acc=84.05%, Val Loss=0.4497, Val Acc=83.73%
Epoch 3: Train Loss=0.4168, Train Acc=85.16%, Val Loss=0.4186, Val Acc=85.02%
Epoch 4: Train Loss=0.3966, Train Acc=85.83%, Val Loss=0.3999, Val Acc=85.98%
Epoch 5: Train Loss=0.3816, Train Acc=86.31%, Val Loss=0.3862, Val Acc=86.33%
Epoch 6: Train Loss=0.3693, Train Acc=86.75%, Val Loss=0.3755, Val Acc=86.77%
Epoch 7: Train Loss=0.3600, Train Acc=87.07%, Val Loss=0.3678, Val Acc=86.93%
Epoch 8: Train Loss=0.3510, Train Acc=87.34%, Val Loss=0.3606, Val Acc=87.25%
Epoch 9: Train Loss=0.3435, Train Acc=87.63%, Val Loss=0.3549, Val Acc=87.43%
Epoch 10: Train Loss=0.3353, Train Acc=87.93%, Val Loss=0.3485, Val Acc=87.63%
Test Loss: 0.3913, Test Acc: 86.10%
