Epoch 1: Train Loss=0.4310, Train Acc=84.61%, Val Loss=0.4351, Val Acc=84.07%
Epoch 2: Train Loss=0.3887, Train Acc=86.16%, Val Loss=0.3925, Val Acc=85.80%
Epoch 3: Train Loss=0.3642, Train Acc=87.02%, Val Loss=0.3713, Val Acc=86.80%
Epoch 4: Train Loss=0.3470, Train Acc=87.56%, Val Loss=0.3569, Val Acc=87.32%
Epoch 5: Train Loss=0.3333, Train Acc=88.03%, Val Loss=0.3468, Val Acc=87.70%
Epoch 6: Train Loss=0.3222, Train Acc=88.47%, Val Loss=0.3389, Val Acc=88.02%
Epoch 7: Train Loss=0.3124, Train Acc=88.79%, Val Loss=0.3326, Val Acc=88.40%
Epoch 8: Train Loss=0.3036, Train Acc=89.07%, Val Loss=0.3267, Val Acc=88.45%
Epoch 9: Train Loss=0.2961, Train Acc=89.35%, Val Loss=0.3220, Val Acc=88.72%
Epoch 10: Train Loss=0.2894, Train Acc=89.58%, Val Loss=0.3187, Val Acc=88.92%
Test Loss: 0.3540, Test Acc: 87.38%
