Epoch 1: Train Loss=0.4305, Train Acc=84.47%, Val Loss=0.4327, Val Acc=84.42%
Epoch 2: Train Loss=0.3882, Train Acc=85.83%, Val Loss=0.3965, Val Acc=85.78%
Epoch 3: Train Loss=0.3635, Train Acc=86.66%, Val Loss=0.3758, Val Acc=86.52%
Epoch 4: Train Loss=0.3425, Train Acc=87.38%, Val Loss=0.3592, Val Acc=86.77%
Epoch 5: Train Loss=0.3243, Train Acc=87.99%, Val Loss=0.3443, Val Acc=87.53%
Epoch 6: Train Loss=0.3119, Train Acc=88.38%, Val Loss=0.3359, Val Acc=87.68%
Epoch 7: Train Loss=0.3002, Train Acc=88.84%, Val Loss=0.3289, Val Acc=87.88%
Epoch 8: Train Loss=0.2904, Train Acc=89.17%, Val Loss=0.3241, Val Acc=88.10%
Epoch 9: Train Loss=0.2810, Train Acc=89.56%, Val Loss=0.3198, Val Acc=88.22%
Epoch 10: Train Loss=0.2706, Train Acc=89.95%, Val Loss=0.3149, Val Acc=88.53%
Test Loss: 0.3612, Test Acc: 87.12%
