Epoch 1: Train Loss=0.4131, Train Acc=85.29%, Val Loss=0.4271, Val Acc=84.83%
Epoch 2: Train Loss=0.3765, Train Acc=86.30%, Val Loss=0.3936, Val Acc=85.65%
Epoch 3: Train Loss=0.3520, Train Acc=86.88%, Val Loss=0.3663, Val Acc=86.52%
Epoch 4: Train Loss=0.3446, Train Acc=87.19%, Val Loss=0.3646, Val Acc=86.77%
Epoch 5: Train Loss=0.3472, Train Acc=87.27%, Val Loss=0.3731, Val Acc=86.27%
Epoch 6: Train Loss=0.3303, Train Acc=87.82%, Val Loss=0.3570, Val Acc=86.77%
Epoch 7: Train Loss=0.3314, Train Acc=87.68%, Val Loss=0.3574, Val Acc=86.67%
Epoch 8: Train Loss=0.3320, Train Acc=87.60%, Val Loss=0.3617, Val Acc=86.60%
Epoch 9: Train Loss=0.3186, Train Acc=88.37%, Val Loss=0.3599, Val Acc=86.97%
Epoch 10: Train Loss=0.3270, Train Acc=88.08%, Val Loss=0.3665, Val Acc=86.63%
Test Loss: 0.4083, Test Acc: 85.55%
