Epoch 1: Train Loss=0.4038, Train Acc=85.44%, Val Loss=0.4080, Val Acc=85.00%
Epoch 2: Train Loss=0.3617, Train Acc=86.90%, Val Loss=0.3710, Val Acc=86.38%
Epoch 3: Train Loss=0.3386, Train Acc=87.67%, Val Loss=0.3516, Val Acc=87.27%
Epoch 4: Train Loss=0.3197, Train Acc=88.33%, Val Loss=0.3370, Val Acc=87.77%
Epoch 5: Train Loss=0.3059, Train Acc=88.83%, Val Loss=0.3270, Val Acc=88.25%
Epoch 6: Train Loss=0.2944, Train Acc=89.26%, Val Loss=0.3192, Val Acc=88.62%
Epoch 7: Train Loss=0.2828, Train Acc=89.64%, Val Loss=0.3124, Val Acc=88.60%
Epoch 8: Train Loss=0.2737, Train Acc=89.94%, Val Loss=0.3093, Val Acc=88.83%
Epoch 9: Train Loss=0.2662, Train Acc=90.14%, Val Loss=0.3066, Val Acc=89.00%
Epoch 10: Train Loss=0.2617, Train Acc=90.37%, Val Loss=0.3080, Val Acc=88.98%
Test Loss: 0.3460, Test Acc: 87.66%
