Epoch 1: Train Loss=0.6118, Train Acc=78.52%, Val Loss=0.6141, Val Acc=78.45%
Epoch 2: Train Loss=0.5211, Train Acc=81.93%, Val Loss=0.5229, Val Acc=81.97%
Epoch 3: Train Loss=0.4843, Train Acc=83.08%, Val Loss=0.4859, Val Acc=82.92%
Epoch 4: Train Loss=0.4614, Train Acc=83.83%, Val Loss=0.4642, Val Acc=83.92%
Epoch 5: Train Loss=0.4441, Train Acc=84.49%, Val Loss=0.4484, Val Acc=84.57%
Epoch 6: Train Loss=0.4307, Train Acc=84.89%, Val Loss=0.4360, Val Acc=84.92%
Epoch 7: Train Loss=0.4193, Train Acc=85.29%, Val Loss=0.4259, Val Acc=85.27%
Epoch 8: Train Loss=0.4099, Train Acc=85.56%, Val Loss=0.4177, Val Acc=85.67%
Epoch 9: Train Loss=0.4014, Train Acc=85.85%, Val Loss=0.4107, Val Acc=85.72%
Epoch 10: Train Loss=0.3939, Train Acc=86.09%, Val Loss=0.4049, Val Acc=85.88%
Test Loss: 0.4368, Test Acc: 84.61%
