Epoch 1: Train Loss=0.4496, Train Acc=83.91%, Val Loss=0.4515, Val Acc=83.63%
Epoch 2: Train Loss=0.3879, Train Acc=85.99%, Val Loss=0.3989, Val Acc=85.72%
Epoch 3: Train Loss=0.3615, Train Acc=86.79%, Val Loss=0.3766, Val Acc=86.35%
Epoch 4: Train Loss=0.3414, Train Acc=87.51%, Val Loss=0.3631, Val Acc=87.05%
Epoch 5: Train Loss=0.3274, Train Acc=88.05%, Val Loss=0.3539, Val Acc=87.30%
Epoch 6: Train Loss=0.3152, Train Acc=88.46%, Val Loss=0.3460, Val Acc=87.57%
Epoch 7: Train Loss=0.3093, Train Acc=88.58%, Val Loss=0.3461, Val Acc=87.68%
Epoch 8: Train Loss=0.3041, Train Acc=88.81%, Val Loss=0.3453, Val Acc=87.72%
Epoch 9: Train Loss=0.2948, Train Acc=89.13%, Val Loss=0.3420, Val Acc=87.72%
Epoch 10: Train Loss=0.2915, Train Acc=89.25%, Val Loss=0.3436, Val Acc=87.87%
Test Loss: 0.3774, Test Acc: 86.67%
