Epoch 1: Train Loss=0.4079, Train Acc=85.43%, Val Loss=0.4118, Val Acc=85.10%
Epoch 2: Train Loss=0.3634, Train Acc=86.70%, Val Loss=0.3743, Val Acc=86.22%
Epoch 3: Train Loss=0.3413, Train Acc=87.52%, Val Loss=0.3575, Val Acc=86.87%
Epoch 4: Train Loss=0.3274, Train Acc=87.79%, Val Loss=0.3514, Val Acc=86.93%
Epoch 5: Train Loss=0.3132, Train Acc=88.25%, Val Loss=0.3440, Val Acc=87.23%
Epoch 6: Train Loss=0.3027, Train Acc=88.72%, Val Loss=0.3402, Val Acc=87.30%
Epoch 7: Train Loss=0.2992, Train Acc=88.85%, Val Loss=0.3426, Val Acc=87.38%
Epoch 8: Train Loss=0.2852, Train Acc=89.35%, Val Loss=0.3356, Val Acc=87.82%
Epoch 9: Train Loss=0.2778, Train Acc=89.61%, Val Loss=0.3362, Val Acc=87.87%
Epoch 10: Train Loss=0.2705, Train Acc=89.73%, Val Loss=0.3333, Val Acc=87.95%
Test Loss: 0.3754, Test Acc: 87.03%
