Epoch 1: Train Loss=0.4787, Train Acc=83.17%, Val Loss=0.4879, Val Acc=82.45%
Epoch 2: Train Loss=0.4291, Train Acc=84.76%, Val Loss=0.4368, Val Acc=84.07%
Epoch 3: Train Loss=0.4021, Train Acc=85.79%, Val Loss=0.4110, Val Acc=85.15%
Epoch 4: Train Loss=0.3832, Train Acc=86.39%, Val Loss=0.3942, Val Acc=85.77%
Epoch 5: Train Loss=0.3692, Train Acc=86.90%, Val Loss=0.3822, Val Acc=86.20%
Epoch 6: Train Loss=0.3594, Train Acc=87.21%, Val Loss=0.3741, Val Acc=86.33%
Epoch 7: Train Loss=0.3501, Train Acc=87.51%, Val Loss=0.3666, Val Acc=86.58%
Epoch 8: Train Loss=0.3428, Train Acc=87.77%, Val Loss=0.3611, Val Acc=86.88%
Epoch 9: Train Loss=0.3361, Train Acc=87.97%, Val Loss=0.3562, Val Acc=87.17%
Epoch 10: Train Loss=0.3295, Train Acc=88.15%, Val Loss=0.3516, Val Acc=87.38%
Test Loss: 0.3874, Test Acc: 86.32%
