Epoch 1: Train Loss=0.4493, Train Acc=83.92%, Val Loss=0.4569, Val Acc=83.40%
Epoch 2: Train Loss=0.3993, Train Acc=85.65%, Val Loss=0.4077, Val Acc=85.55%
Epoch 3: Train Loss=0.3728, Train Acc=86.61%, Val Loss=0.3847, Val Acc=86.27%
Epoch 4: Train Loss=0.3555, Train Acc=87.19%, Val Loss=0.3707, Val Acc=86.72%
Epoch 5: Train Loss=0.3418, Train Acc=87.69%, Val Loss=0.3603, Val Acc=86.87%
Epoch 6: Train Loss=0.3325, Train Acc=87.95%, Val Loss=0.3546, Val Acc=87.20%
Epoch 7: Train Loss=0.3228, Train Acc=88.33%, Val Loss=0.3489, Val Acc=87.45%
Epoch 8: Train Loss=0.3152, Train Acc=88.61%, Val Loss=0.3441, Val Acc=87.50%
Epoch 9: Train Loss=0.3075, Train Acc=88.83%, Val Loss=0.3399, Val Acc=87.67%
Epoch 10: Train Loss=0.2997, Train Acc=89.10%, Val Loss=0.3365, Val Acc=87.67%
Test Loss: 0.3738, Test Acc: 86.83%
