Epoch 1: Train Loss=0.5302, Train Acc=81.95%, Val Loss=0.5351, Val Acc=81.15%
Epoch 2: Train Loss=0.4808, Train Acc=83.34%, Val Loss=0.4827, Val Acc=82.87%
Epoch 3: Train Loss=0.4552, Train Acc=84.18%, Val Loss=0.4565, Val Acc=83.85%
Epoch 4: Train Loss=0.4387, Train Acc=84.76%, Val Loss=0.4399, Val Acc=84.28%
Epoch 5: Train Loss=0.4256, Train Acc=85.22%, Val Loss=0.4273, Val Acc=84.75%
Epoch 6: Train Loss=0.4145, Train Acc=85.56%, Val Loss=0.4171, Val Acc=85.32%
Epoch 7: Train Loss=0.4050, Train Acc=85.91%, Val Loss=0.4089, Val Acc=85.77%
Epoch 8: Train Loss=0.3971, Train Acc=86.19%, Val Loss=0.4018, Val Acc=85.88%
Epoch 9: Train Loss=0.3901, Train Acc=86.39%, Val Loss=0.3961, Val Acc=86.08%
Epoch 10: Train Loss=0.3839, Train Acc=86.58%, Val Loss=0.3911, Val Acc=86.32%
Test Loss: 0.4293, Test Acc: 84.84%
