2025-03-16 00:14:54,087 INFO    MainThread:25853 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /Users/karanagrawal/Desktop/Sem 2/DL/Assignment 1/wandb/run-20250316_001454-30lxfn1x/logs/debug.log
2025-03-16 00:14:54,088 INFO    MainThread:25853 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /Users/karanagrawal/Desktop/Sem 2/DL/Assignment 1/wandb/run-20250316_001454-30lxfn1x/logs/debug-internal.log
2025-03-16 00:14:54,088 INFO    MainThread:25853 [wandb_init.py:monkeypatch_ipython():599] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x1696f4f90>
2025-03-16 00:14:54,088 INFO    MainThread:25853 [wandb_init.py:init():761] calling init triggers
2025-03-16 00:14:54,088 INFO    MainThread:25853 [wandb_init.py:init():766] wandb.init called with sweep_config: {'activation': 'tanh', 'batch_size': 32, 'dataset': 'fashion_mnist', 'epochs': 5, 'hidden_layer_sizes': 128, 'hidden_layers': 5, 'initialization': 'random', 'learning_rate': 0.001, 'optimizer': 'momentum', 'weight_decay': 0.5}
config: {'_wandb': {}}
2025-03-16 00:14:54,088 INFO    MainThread:25853 [wandb_init.py:init():784] starting backend
2025-03-16 00:14:54,088 INFO    MainThread:25853 [wandb_init.py:init():788] sending inform_init request
2025-03-16 00:14:54,095 INFO    MainThread:25853 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-03-16 00:14:54,099 INFO    MainThread:25853 [wandb_init.py:init():803] backend started and connected
2025-03-16 00:14:54,107 INFO    MainThread:25853 [wandb_run.py:_config_callback():1261] config_cb None None {'activation': 'tanh', 'batch_size': 32, 'dataset': 'fashion_mnist', 'epochs': 5, 'hidden_layer_sizes': 128, 'hidden_layers': 5, 'initialization': 'random', 'learning_rate': 0.001, 'optimizer': 'momentum', 'weight_decay': 0.5}
2025-03-16 00:14:54,117 INFO    MainThread:25853 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2025-03-16 00:14:54,117 INFO    MainThread:25853 [wandb_run.py:_label_probe_notebook():1214] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2025-03-16 00:14:54,117 INFO    MainThread:25853 [wandb_init.py:init():896] updated telemetry
2025-03-16 00:14:54,230 INFO    MainThread:25853 [wandb_init.py:init():920] communicating run to backend with 90.0 second timeout
2025-03-16 00:14:54,718 INFO    MainThread:25853 [wandb_init.py:init():995] starting run threads in backend
2025-03-16 00:14:55,112 INFO    MainThread:25853 [wandb_run.py:_console_start():2377] atexit reg
2025-03-16 00:14:55,112 INFO    MainThread:25853 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-16 00:14:55,112 INFO    MainThread:25853 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-16 00:14:55,112 INFO    MainThread:25853 [wandb_run.py:_redirect():2317] Redirects installed.
2025-03-16 00:14:55,113 INFO    MainThread:25853 [wandb_init.py:init():1037] run started, returning control to user process
2025-03-16 00:14:55,488 INFO    MainThread:25853 [wandb_run.py:_config_callback():1261] config_cb ('_wandb', 'visualize', 'conf_mat') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/confusion_matrix/v1', 'fieldSettings': {'Actual': 'Actual', 'Predicted': 'Predicted', 'nPredictions': 'nPredictions'}, 'stringSettings': {'title': 'Confusion Matrix Curve'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'conf_mat_table'}], 'fields': []}]}]}}} None
2025-03-16 00:14:55,856 INFO    MainThread:25853 [wandb_run.py:_finish():2112] finishing run cs24m021-iit-madras/DA6401_Assignment1/30lxfn1x
2025-03-16 00:14:55,856 INFO    MainThread:25853 [jupyter.py:save_history():458] not saving jupyter history
2025-03-16 00:14:55,856 INFO    MainThread:25853 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-03-16 00:14:55,856 INFO    MainThread:25853 [wandb_init.py:_jupyter_teardown():581] cleaning up jupyter logic
2025-03-16 00:14:55,856 INFO    MainThread:25853 [wandb_run.py:_atexit_cleanup():2342] got exitcode: 0
2025-03-16 00:14:55,856 INFO    MainThread:25853 [wandb_run.py:_restore():2324] restore
2025-03-16 00:14:55,857 INFO    MainThread:25853 [wandb_run.py:_restore():2330] restore done
2025-03-16 00:14:59,928 INFO    MsgRouterThr:25853 [mailbox.py:close():115] Closing mailbox, abandoning 1 handles.
2025-03-16 00:14:59,929 INFO    MainThread:25853 [wandb_run.py:_footer_history_summary_info():3958] rendering history
2025-03-16 00:14:59,929 INFO    MainThread:25853 [wandb_run.py:_footer_history_summary_info():3990] rendering summary
2025-03-16 00:14:59,930 INFO    MainThread:25853 [wandb_run.py:_footer_sync_info():3919] logging synced files
