Epoch 1: Train Loss=0.8128, Train Acc=11.44%, Val Loss=0.8183, Val Acc=10.85%
Epoch 2: Train Loss=0.8064, Train Acc=11.49%, Val Loss=0.8054, Val Acc=11.52%
Epoch 3: Train Loss=0.7998, Train Acc=11.86%, Val Loss=0.7925, Val Acc=12.62%
Epoch 4: Train Loss=0.7907, Train Acc=12.15%, Val Loss=0.7868, Val Acc=12.43%
Epoch 5: Train Loss=0.7847, Train Acc=12.34%, Val Loss=0.7783, Val Acc=13.08%
Epoch 6: Train Loss=0.7759, Train Acc=12.49%, Val Loss=0.7774, Val Acc=12.70%
Epoch 7: Train Loss=0.7672, Train Acc=12.65%, Val Loss=0.7661, Val Acc=12.98%
Epoch 8: Train Loss=0.7586, Train Acc=12.82%, Val Loss=0.7546, Val Acc=13.32%
Epoch 9: Train Loss=0.7486, Train Acc=12.83%, Val Loss=0.7509, Val Acc=12.83%
Epoch 10: Train Loss=0.7346, Train Acc=13.26%, Val Loss=0.7327, Val Acc=13.52%
Test Loss: 0.7421, Test Acc: 12.34%
