Epoch 1: Train Loss=0.4630, Train Acc=5.76%, Val Loss=0.4627, Val Acc=5.60%
Epoch 2: Train Loss=0.4613, Train Acc=10.07%, Val Loss=0.4612, Val Acc=9.40%
Epoch 3: Train Loss=0.4607, Train Acc=10.07%, Val Loss=0.4608, Val Acc=9.40%
Epoch 4: Train Loss=0.4606, Train Acc=10.07%, Val Loss=0.4607, Val Acc=9.40%
Epoch 5: Train Loss=0.4606, Train Acc=10.07%, Val Loss=0.4607, Val Acc=9.40%
Epoch 6: Train Loss=0.4606, Train Acc=10.07%, Val Loss=0.4608, Val Acc=9.40%
Epoch 7: Train Loss=0.4606, Train Acc=10.07%, Val Loss=0.4608, Val Acc=9.40%
Epoch 8: Train Loss=0.4607, Train Acc=10.07%, Val Loss=0.4609, Val Acc=9.40%
Epoch 9: Train Loss=0.4607, Train Acc=10.07%, Val Loss=0.4609, Val Acc=9.40%
Epoch 10: Train Loss=0.4607, Train Acc=10.07%, Val Loss=0.4609, Val Acc=9.40%
Test Loss: 0.4607, Test Acc: 10.00%
