Epoch 1: Train Loss=0.4502, Train Acc=10.01%, Val Loss=0.4502, Val Acc=9.88%
Epoch 2: Train Loss=0.4502, Train Acc=10.01%, Val Loss=0.4501, Val Acc=9.88%
Epoch 3: Train Loss=0.4502, Train Acc=10.01%, Val Loss=0.4501, Val Acc=9.88%
Epoch 4: Train Loss=0.4502, Train Acc=10.01%, Val Loss=0.4501, Val Acc=9.88%
Epoch 5: Train Loss=0.4502, Train Acc=10.01%, Val Loss=0.4501, Val Acc=9.88%
Epoch 6: Train Loss=0.4502, Train Acc=10.01%, Val Loss=0.4500, Val Acc=9.88%
Epoch 7: Train Loss=0.4502, Train Acc=10.01%, Val Loss=0.4500, Val Acc=9.88%
Epoch 8: Train Loss=0.4502, Train Acc=9.99%, Val Loss=0.4500, Val Acc=10.12%
Epoch 9: Train Loss=0.4502, Train Acc=9.99%, Val Loss=0.4500, Val Acc=10.12%
Epoch 10: Train Loss=0.4502, Train Acc=9.99%, Val Loss=0.4500, Val Acc=10.12%
Test Loss: 0.4501, Test Acc: 10.00%
