Epoch 1: Train Loss=0.4877, Train Acc=8.77%, Val Loss=0.4871, Val Acc=9.10%
Epoch 2: Train Loss=0.4661, Train Acc=13.06%, Val Loss=0.4657, Val Acc=13.35%
Epoch 3: Train Loss=0.4606, Train Acc=10.01%, Val Loss=0.4605, Val Acc=9.88%
Epoch 4: Train Loss=0.4558, Train Acc=10.01%, Val Loss=0.4562, Val Acc=9.88%
Epoch 5: Train Loss=0.4538, Train Acc=10.01%, Val Loss=0.4545, Val Acc=9.88%
Epoch 6: Train Loss=0.4531, Train Acc=10.07%, Val Loss=0.4538, Val Acc=9.40%
Epoch 7: Train Loss=0.4522, Train Acc=10.07%, Val Loss=0.4528, Val Acc=9.40%
Epoch 8: Train Loss=0.4512, Train Acc=10.07%, Val Loss=0.4517, Val Acc=9.40%
Epoch 9: Train Loss=0.4506, Train Acc=10.07%, Val Loss=0.4509, Val Acc=9.40%
Epoch 10: Train Loss=0.4502, Train Acc=10.07%, Val Loss=0.4505, Val Acc=9.40%
Test Loss: 0.4502, Test Acc: 10.00%
