Epoch 1: Train Loss=0.8621, Train Acc=13.77%, Val Loss=0.8652, Val Acc=13.47%
Epoch 2: Train Loss=0.8875, Train Acc=11.24%, Val Loss=0.8864, Val Acc=11.35%
Epoch 3: Train Loss=0.9053, Train Acc=9.47%, Val Loss=0.9016, Val Acc=9.83%
Epoch 4: Train Loss=0.8997, Train Acc=10.03%, Val Loss=0.9020, Val Acc=9.80%
Epoch 5: Train Loss=0.8997, Train Acc=10.03%, Val Loss=0.9020, Val Acc=9.80%
Epoch 6: Train Loss=0.8997, Train Acc=10.03%, Val Loss=0.9020, Val Acc=9.80%
Epoch 7: Train Loss=0.8997, Train Acc=10.03%, Val Loss=0.9020, Val Acc=9.80%
Epoch 8: Train Loss=0.8997, Train Acc=10.03%, Val Loss=0.9020, Val Acc=9.80%
Epoch 9: Train Loss=0.8997, Train Acc=10.03%, Val Loss=0.9020, Val Acc=9.80%
Epoch 10: Train Loss=0.8997, Train Acc=10.03%, Val Loss=0.9020, Val Acc=9.80%
Test Loss: 0.9000, Test Acc: 10.00%
