Epoch 1: Train Loss=0.4503, Train Acc=10.01%, Val Loss=0.4501, Val Acc=9.88%
Epoch 2: Train Loss=0.4503, Train Acc=10.01%, Val Loss=0.4501, Val Acc=9.88%
Epoch 3: Train Loss=0.4504, Train Acc=10.01%, Val Loss=0.4501, Val Acc=9.88%
Epoch 4: Train Loss=0.4504, Train Acc=10.01%, Val Loss=0.4501, Val Acc=9.88%
Epoch 5: Train Loss=0.4504, Train Acc=10.01%, Val Loss=0.4501, Val Acc=9.88%
Epoch 6: Train Loss=0.4504, Train Acc=10.01%, Val Loss=0.4501, Val Acc=9.88%
Epoch 7: Train Loss=0.4504, Train Acc=10.01%, Val Loss=0.4501, Val Acc=9.88%
Epoch 8: Train Loss=0.4504, Train Acc=10.01%, Val Loss=0.4501, Val Acc=9.88%
Epoch 9: Train Loss=0.4504, Train Acc=10.01%, Val Loss=0.4501, Val Acc=9.88%
Epoch 10: Train Loss=0.4504, Train Acc=10.01%, Val Loss=0.4502, Val Acc=9.88%
Test Loss: 0.4503, Test Acc: 10.00%
